name,area,address,lat,lon,pax_min,pax_max,price_from,price_to,currency,rating,review_count,is_claimed,availability_source,phone,email,website,contact_name,contact_role
Raffles Makati - Ballroom,Makati,"Makati Ave, Makati",14.5506320,121.0231412,80,350,,,PHP,4.7,2000,true,none,+63 2 8555 9777,makati@raffles.com,https://www.raffles.com,Events Team,Events & Catering
Discovery Primea - Grand Ballroom,Makati,"Ayala Ave, Makati",14.5536147,121.0267595,120,500,,,PHP,4.6,2500,true,none,+63 2 7955 8888,info@discoveryprimea.com,https://www.discoveryprimea.com,Sales Team,Events & Catering
City Garden GRAND Hotel - Ballroom,Makati,"Kalayaan Ave, Makati",14.5647660,121.0291458,120,500,,,PHP,4.4,3200,true,none,+63 2 8888 8181,info@citygardengrandhotel.com,https://www.citygardengrandhotel.com,Sales Team,Events & Catering
Holiday Inn & Suites Makati - Ballroom,Makati,"Glorietta Mall area, Makati",14.5505783,121.0250678,120,600,,,PHP,4.5,5500,true,none,+63 2 7909 0888,info@holidayinnmakati.com,https://www.ihg.com,Events Team,Events & Catering
Makati Diamond Residences - Function Rooms,Makati,"Legazpi Village, Makati",14.5538942,121.0208837,60,250,,,PHP,4.6,1800,true,none,+63 2 5317 0999,info@makatidiamond.com,https://www.makatidiamond.com,Sales Team,Events & Catering
The Alpha Suites - Events Space,Makati,Makati (Chino Roces area),14.5625591,121.0160009,150,800,,,PHP,4.4,1200,true,none,+63 2 8843 6888,info@alphasuites.com,https://www.alphasuites.com,Sales Team,Events & Catering
Valero Grand Suites - Function Space,Makati,"Valero St, Makati",14.5591528,121.0238478,40,150,,,PHP,4.3,700,true,none,+63 2 8825 6999,info@valerograndsuites.com,https://www.valerograndsuites.com,Sales Team,Venue Sales
Copacabana Apartment Hotel - Events,Makati,"Legazpi Village, Makati",,,40,150,,,PHP,4.2,500,true,none,+63 2 8892 4581,,https://www.copacabanamanila.com,Admin Office,Venue Admin
Makati Sports Club - Function Halls,Makati,"L.P. Leviste St, Makati",14.5600236,121.0213493,100,600,,,PHP,4.4,600,true,none,+63 2 8817 4000,,https://www.makatisportsclub.com,Admin Office,Club Events
Ayala Museum - Events,Makati,"Greenbelt, Makati",14.5535834,121.0232447,80,250,,,PHP,4.6,3000,true,none,+63 2 7591 0153,info@ayalamuseum.org,https://www.ayalamuseum.org,Events Team,Museum Events
The Astbury - Function Space,Makati,"Poblacion, Makati",14.5626195,121.0313657,40,150,,,PHP,4.2,500,true,none,+63 2 8246 5050,,https://www.theastbury.com,Admin Office,Venue Admin
I’M Hotel - Events,Makati,"Poblacion, Makati",14.5646072,121.0296829,80,300,,,PHP,4.4,2200,true,none,+63 2 7755 7888,info@imhotel.com,https://www.imhotel.com,Sales Team,Events & Catering
Gramercy Residences - Events,Makati,"Poblacion, Makati",14.5656273,121.0284469,80,250,,,PHP,4.3,2000,true,none,+63 2 8988 9999,info@gramercymanila.com,https://www.gramercymanila.com,Admin Office,Venue Admin
The Bellagio Square (events),Makati,Forbes Town area (near Makati),,,80,300,,,PHP,4.3,800,true,none,+63 2 8894 7700,,https://www.megaworldcorp.com,Admin Office,Property Events
PBCOM Tower (events floors),Makati,"Ayala Ave, Makati",14.5585501,121.0193853,150,700,,,PHP,4.3,900,true,none,+63 2 8802 4888,,https://www.pbcom.com.ph,Admin Office,Corporate Events
The Filinvest Tent,Alabang,"Filinvest City, Alabang, Muntinlupa",14.4211590,121.0373975,300,2000,,,PHP,4.4,900,true,none,+63 2 8771 0000,events@filinvest.com,https://www.filinvestcity.com,Events Team,Events & Catering
Crimson Hotel Filinvest City Manila - Ballroom,Alabang,"Filinvest City, Alabang, Muntinlupa",14.4199618,121.0422176,150,800,,,PHP,4.5,4500,true,none,+63 2 8863 2222,info.manila@crimsonhotel.com,https://www.crimsonhotel.com,Events Team,Events & Catering
The Bellevue Manila - Ballroom,Alabang,"Alabang, Muntinlupa",14.4240330,121.0398181,150,800,,,PHP,4.5,5500,true,none,+63 2 8771 8181,info@thebellevue.com,https://www.thebellevue.com,Events Team,Events & Catering
Acacia Hotel Manila - Grand Ballroom,Alabang,"Alabang, Muntinlupa",14.4205075,121.0354960,150,700,,,PHP,4.5,3000,true,none,+63 2 8588 1234,info@acaciahotelsmanila.com,https://www.acaciahotelsmanila.com,Events Team,Events & Catering
Vivere Hotel - Grand Ballroom,Alabang,"Alabang, Muntinlupa",14.4201084,121.0393142,120,500,,,PHP,4.4,2800,true,none,+63 2 8771 7777,info@viverehotel.com,https://www.viverehotel.com,Events Team,Events & Catering
Somerset Alabang Manila - Function Rooms,Alabang,"Alabang, Muntinlupa",14.4201262,121.0375182,60,250,,,PHP,4.5,1800,true,none,+63 2 8862 8888,info.alabang@the-ascott.com,https://www.discoverasr.com,Sales Team,Events & Catering
Azumi Boutique Hotel - Events,Alabang,"Alabang, Muntinlupa",14.4272252,121.0275578,60,250,,,PHP,4.5,1500,true,none,+63 2 8869 9888,info@azumiboutiquehotel.com,https://www.azumiboutiquehotel.com,Sales Team,Events & Catering
Parque España Residence Hotel - Events,Alabang,"Alabang, Muntinlupa",14.4185291,121.0351069,80,350,,,PHP,4.3,1400,true,none,+63 2 8771 8181,,https://www.parqueespana.com,Admin Office,Venue Admin
Alabang Country Club - Events,Alabang,"Alabang, Muntinlupa",14.4024654,121.0221039,150,800,,,PHP,4.4,900,true,none,+63 2 8842 3500,,https://www.alabangcountryclub.com,Admin Office,Club Events
The Palms Country Club - Events,Alabang,"Alabang, Muntinlupa",14.4107057,121.0346019,120,600,,,PHP,4.4,900,true,none,+63 2 8772 1811,,https://www.thepalmscountryclub.com,Admin Office,Club Events
